Price,date,open,high,low,close,adj_close,volume
Ticker,,ZTS,ZTS,ZTS,ZTS,,ZTS
0,2013-02-01,28.48032527767115,28.69731802522708,27.549063227134997,28.03729820251465,28.03729820251465,66789100
1,2013-02-04,28.10962645750191,28.92334961493568,27.811261242292698,28.046337127685547,28.046337127685547,7695400
2,2013-02-05,28.25428485181794,28.91430453207528,27.892630350615608,28.064416885375977,28.064416885375977,5013200
3,2013-02-06,28.010168161189316,28.41703056366977,27.802217033034747,28.055376052856445,28.055376052856445,2126100
4,2013-02-07,28.02825301885605,29.592409950865886,28.02825301885605,28.932390213012695,28.932390213012695,3800800
5,2013-02-08,29.21267336269252,30.270512201801996,29.203630059498128,29.881732940673828,29.881732940673828,2599300
6,2013-02-11,29.8907790820821,30.288598235169104,29.72803409922607,30.071603775024414,30.071603775024414,1487200
7,2013-02-12,30.198189319350007,30.74067035782514,29.972154978483644,30.505596160888672,30.505596160888672,1637300
8,2013-02-13,30.559837482890927,30.559837482890927,29.83652839345755,30.333803176879883,30.333803176879883,1269700
9,2013-02-14,30.18914393265314,30.243393412364146,29.628579771679743,30.08064842224121,30.08064842224121,2954500
10,2013-02-15,30.116813460305444,30.82203942148435,29.836529667242317,30.722583770751953,30.722583770751953,5415400
11,2013-02-19,30.758747548490035,30.80395371808641,30.35188512410333,30.59600257873535,30.59600257873535,1206900
12,2013-02-20,30.596004876952104,30.6321711949497,29.474873162096085,29.583372116088867,29.583372116088867,1842900
13,2013-02-21,29.3844597839424,29.655700261376833,28.805812512346332,29.438709259033203,29.438709259033203,3242300
14,2013-02-22,29.637610829120838,29.773232763633573,29.38445356364007,29.4658260345459,29.4658260345459,954500
15,2013-02-25,29.547206045237115,29.556245900307168,28.9323924301751,28.995681762695312,28.995681762695312,818900
16,2013-02-26,28.977597212424165,29.29404730884342,28.923349462083237,28.968557357788086,28.968557357788086,1048700
17,2013-02-27,28.932394168706406,29.881737662565055,28.932394168706406,29.221717834472656,29.221717834472656,1343600
18,2013-02-28,29.438703884230577,30.33379764124249,29.438703884230577,30.243385314941406,30.243385314941406,2991400
19,2013-03-01,30.16201954109671,31.373563607282584,29.972151544286447,31.28314781188965,31.28314781188965,2334000
20,2013-03-04,31.46396257982601,31.545335036587108,30.95764813687558,31.057100296020508,31.057100296020508,865400
21,2013-03-05,31.111358419877174,31.174647742882563,30.51462805367676,31.00286293029785,31.00286293029785,1413400
22,2013-03-06,31.048052815494746,31.08421910939232,30.605024337768555,30.605024337768555,30.605024337768555,802000
23,2013-03-07,30.695456462219006,31.355476157730052,30.34284353096059,31.246980667114258,31.246980667114258,1320000
24,2013-03-08,30.76778917446747,31.364519614925513,30.55983802314223,30.822038650512695,30.822038650512695,1541100
25,2013-03-11,30.71353249435531,30.975729581772107,30.062552803646216,30.903400421142578,30.903400421142578,1729400
26,2013-03-12,30.849157544988863,30.957656482592316,30.379005829068756,30.577917098999023,30.577917098999023,1557600
27,2013-03-13,30.65025689700269,30.794918731985756,29.9088645615882,30.74066925048828,30.74066925048828,2240800
28,2013-03-14,31.039025154676573,32.02453118280873,31.011898699097788,31.319305419921875,31.319305419921875,1865200
29,2013-03-15,31.37356513896667,31.500143809686524,30.11681483823368,30.234350204467773,30.234350204467773,2692100
30,2013-03-18,29.610483924082878,29.782268696045143,29.51102831173313,29.691856384277344,29.691856384277344,2372000
31,2013-03-19,29.65570640563965,30.21627063501347,29.23076416758699,29.65570640563965,29.65570640563965,1336200
32,2013-03-20,29.746111492422443,30.32475867529841,29.384455278620333,30.297632217407227,30.297632217407227,1944000
33,2013-03-21,30.650255831413705,30.740668181756014,30.09873152689941,30.261476516723633,30.261476516723633,514500
34,2013-03-22,30.33379605190299,30.51462414403984,29.601447279811786,29.945016860961914,29.945016860961914,763300
35,2013-03-25,30.270511714529608,30.270511714529608,29.158423421184192,29.348291397094727,29.348291397094727,1324600
36,2013-03-26,29.59241066559138,29.646660140194516,28.932390911797178,29.39349937438965,29.39349937438965,1396500
37,2013-03-27,29.275969492724364,29.73707804152083,28.986645805438265,29.601459503173828,29.601459503173828,1896800
38,2013-03-28,29.700906729596912,30.288597310752763,29.501998883629103,30.198184967041016,30.198184967041016,7434900
39,2013-04-01,30.216257978224913,30.369963067273286,29.321164247269877,29.4658260345459,29.4658260345459,1466300
40,2013-04-02,29.529120253770945,29.954065833391375,29.348292127399933,29.429664611816406,29.429664611816406,712200
41,2013-04-03,29.53816160695743,29.81844538950606,29.257881273418615,29.411582946777344,29.411582946777344,1409700
42,2013-04-04,29.303083320522745,29.384455797614976,28.67018665969533,28.7877254486084,28.7877254486084,1946400
43,2013-04-05,28.688275720674966,28.99568253640874,27.639476605055627,28.89622688293457,28.89622688293457,3963500
44,2013-04-08,28.887174508253626,29.818434407168873,28.72442959110223,29.764184951782227,29.764184951782227,1965200
45,2013-04-09,29.88173720774529,30.36997217967339,29.438711860225798,30.234350204467773,30.234350204467773,2004400
46,2013-04-10,30.52367162031689,30.52367162031689,29.818445678752784,29.972150802612305,29.972150802612305,969500
47,2013-04-11,30.035435380394627,30.05351853616419,29.718985327941212,29.981185913085938,29.981185913085938,1826600
48,2013-04-12,29.809407103193017,30.15297678489865,29.474873827675953,30.04448127746582,30.04448127746582,723500
49,2013-04-15,29.899821463308907,30.044483299290945,29.086096480278545,29.149389266967773,29.149389266967773,839500
50,2013-04-16,29.25788426893053,30.171061445873466,29.19459493236073,30.026399612426758,30.026399612426758,2271200
51,2013-04-17,29.818442564454536,30.044476850221177,29.08609023692719,29.737070083618164,29.737070083618164,3140500
